year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner
2022,Rich Strike,Sonny Leon,Eric Reed,RED TR-Racing,1.25,Fast,2:02.61,122.61,FALSE
2021,Mandaloun,Florent Geroux,Brad H. Cox,Juddmonte Farm,1.25,Fast,2:01.02,121.02,FALSE
2020,Authentic,John Velazquez,Bob Baffert,"Spendthrift Farm LLC, MyRaceHorse Stable, Madaket Stables LLC, Starlight Racing",1.25,Fast,2:00.61,120.61,FALSE
2019,Country House,Flavien Prat,Bill Mott,"Mrs. J.V. Shields Jr., E. J. M. McFadden Jr. and LNJ Foxwoods",1.25,Sloppy,2:03.93,123.93,FALSE
2018,Justify,Mike E. Smith,Bob Baffert,"China Horse Club, Head of Plains Partners, Starlight Racing, WinStar Farm",1.25,Sloppy,2:04.20,124.2,TRUE
2017,Always Dreaming,John Velazquez,Todd Pletcher,"MeB Racing, Brooklyn Boyz, Teresa Viola, St. Elias, Siena Farm, West Point",1.25,Wet Fast (sealed),2:03.59,123.59,FALSE
2016,Nyquist,Mario Gutierrez,Doug O'Neill,J. Paul Reddam,1.25,Fast,2:01.31,121.31,FALSE
2015,American Pharoah,Victor Espinoza,Bob Baffert,"Zayat Stables, LLC",1.25,Fast,2:03.02,123.02,TRUE
2014,California Chrome,Victor Espinoza,Art Sherman,Steve Coburn & Perry Martin,1.25,Fast,2:03.66,123.66,FALSE
2013,Orb,Joel Rosario,Claude McGaughey III,Stuart S. Janney III & Phipps Stable,1.25,Sloppy,2:02.89,122.89,FALSE
2012,I'll Have Another,Mario Gutierrez,Doug O'Neill,J. Paul Reddam,1.25,Fast,2:01.83,121.83,FALSE
2011,Animal Kingdom,John Velazquez,H. Graham Motion,Team Valor International,1.25,Fast,2:02.04,122.04,FALSE
2010,Super Saver,Calvin Borel,Todd Pletcher,WinStar Farm,1.25,Sloppy,2:04.45,124.45,FALSE
2009,Mine That Bird,Calvin Borel,Bennie L. Woolley Jr.,Double Eagle Ranch et al.,1.25,Sloppy,2:02.66,122.66,FALSE
2008,Big Brown,Kent Desormeaux,Richard E. Dutrow Jr.,IEAH Stables / P. Pompa,1.25,Fast,2:01.82,121.82,FALSE
2007,Street Sense,Calvin Borel,Carl Nafzger,James B. Tafel,1.25,Fast,2:02.17,122.17,FALSE
2006,Barbaro,Edgar Prado,Michael R. Matz,Lael Stables,1.25,Fast,2:01.36,121.36,FALSE
2005,Giacomo,Mike E. Smith,John Shirreffs,Jerry & Ann Moss,1.25,Fast,2:02.75,122.75,FALSE
2004,Smarty Jones,Stewart Elliott,John Servis,Someday Farm,1.25,Sloppy,2:04.06,124.06,FALSE
2003,Funny Cide,José A. Santos,Barclay Tagg,Sackatoga Stable,1.25,Fast,2:01.19,121.19,FALSE
2002,War Emblem,Victor Espinoza,Bob Baffert,Thoroughbred Corp.,1.25,Fast,2:01.13,121.13,FALSE
2001,Monarchos,Jorge F. Chavez,John T. Ward Jr.,John C. Oxley,1.25,Fast,1:59.97,119.97,FALSE
2000,Fusaichi Pegasus,Kent Desormeaux,Neil Drysdale,Fusao Sekiguchi,1.25,Fast,2:01.0,121,FALSE
1999,Charismatic,Chris Antley,D. Wayne Lukas,Bob & Beverly Lewis,1.25,Fast,2:03.2,123.2,FALSE
1998,Real Quiet,Kent Desormeaux,Bob Baffert,Michael E. Pegram,1.25,Fast,2:02.2,122.2,FALSE
1997,Silver Charm,Gary Stevens,Bob Baffert,Bob & Beverly Lewis,1.25,Fast,2:02.4,122.4,FALSE
1996,Grindstone,Jerry Bailey,D. Wayne Lukas,Overbrook Farm,1.25,Fast,2:01.0,121,FALSE
1995,Thunder Gulch,Gary Stevens,D. Wayne Lukas,Michael Tabor,1.25,Fast,2:01.2,121.2,FALSE
1994,Go for Gin,Chris McCarron,Nick Zito,William J. Condren & Joseph M. Cornacchia,1.25,Sloppy,2:03.6,123.6,FALSE
1993,Sea Hero,Jerry Bailey,MacKenzie Miller,Rokeby Stables,1.25,Fast,2:02.4,122.4,FALSE
1992,Lil E. Tee,Pat Day,Lynn S. Whiting,W. Cal Partee,1.25,Fast,2:03.0,123,FALSE
1991,Strike the Gold,Chris Antley,Nick Zito,BCC Stable,1.25,Fast,2:03.0,123,FALSE
1990,Unbridled,Craig Perret,Carl Nafzger,Frances A. Genter,1.25,Good,2:02.0,122,FALSE
1989,Sunday Silence,Pat Valenzuela,Charlie Whittingham,H-G-W Partners,1.25,Muddy,2:05.0,125,FALSE
1988,Winning Colors,Gary Stevens,D. Wayne Lukas,Eugene V. Klein,1.25,Fast,2:02.2,122.2,FALSE
1987,Alysheba,Chris McCarron,Jack Van Berg,D. & P. Scharbauer,1.25,Fast,2:03.4,123.4,FALSE
1986,Ferdinand,Bill Shoemaker,Charlie Whittingham,Elizabeth A. Keck,1.25,Fast,2:02.8,122.8,FALSE
1985,Spend A Buck,Ángel Cordero Jr.,Cam Gambolati,Dennis Diaz,1.25,Fast,2:00.2,120.2,FALSE
1984,Swale,Laffit Pincay Jr.,Woody Stephens,Claiborne Farm,1.25,Fast,2:02.4,122.4,FALSE
1983,Sunny's Halo,Eddie Delahoussaye,David C. Cross Jr.,David J. Foster Stable,1.25,Fast,2:02.2,122.2,FALSE
1982,Gato Del Sol,Eddie Delahoussaye,Edwin J. Gregson,Hancock & Peters,1.25,Fast,2:02.4,122.4,FALSE
1981,Pleasant Colony,Jorge Velásquez,John P. Campo,Buckland Farm,1.25,Fast,2:02.0,122,FALSE
1980,Genuine Risk,Jacinto Vásquez,LeRoy Jolley,Diana M. Firestone,1.25,Fast,2:02.0,122,FALSE
1979,Spectacular Bid,Ronnie Franklin,Bud Delp,Hawksworth Farm,1.25,Fast,2:02.4,122.4,FALSE
1978,Affirmed,Steve Cauthen,Laz Barrera,Harbor View Farm,1.25,Fast,2:01.2,121.2,TRUE
1977,Seattle Slew,Jean Cruguet,William H. Turner Jr.,Karen L. Taylor,1.25,Fast,2:02.2,122.2,TRUE
1976,Bold Forbes,Ángel Cordero Jr.,Laz Barrera,E. Rodriguez Tizol,1.25,Fast,2:01.6,121.6,FALSE
1975,Foolish Pleasure,Jacinto Vásquez,LeRoy Jolley,John L. Greer,1.25,Fast,2:02.0,122,FALSE
1974,Cannonade,Ángel Cordero Jr.,Woody Stephens,John M. Olin,1.25,Fast,2:04.0,124,FALSE
1973,Secretariat,Ron Turcotte,Lucien Laurin,Meadow Stable,1.25,Fast,1:59.4,119.4,TRUE
1972,Riva Ridge,Ron Turcotte,Lucien Laurin,Meadow Stud,1.25,Fast,2:01.8,121.8,FALSE
1971,Canonero II,Gustavo Ávila,Juan Arias,Edgar Caibett,1.25,Fast,2:03.2,123.2,FALSE
1970,Dust Commander,Mike Manganello,Don Combs,Robert E. Lehmann,1.25,Good,2:03.4,123.4,FALSE
1969,Majestic Prince,Bill Hartack,Johnny Longden,Frank M. McMahon,1.25,Fast,2:01.8,121.8,FALSE
1968,Forward Pass,Ismael Valenzuela,Henry Forrest,Calumet Farm,1.25,Fast,2:02.2,122.2,FALSE
1967,Proud Clarion,Bobby Ussery,Loyd Gentry Jr.,Darby Dan Farm,1.25,Fast,2:00.6,120.6,FALSE
1966,Kauai King,Don Brumfield,Henry Forrest,Ford Stable,1.25,Fast,2:02.0,122,FALSE
1965,Lucky Debonair,Bill Shoemaker,Frank Catrone,Ada L. Rice,1.25,Fast,2:01.2,121.2,FALSE
1964,Northern Dancer,Bill Hartack,Horatio Luro,Windfields Farm,1.25,Fast,2:00.0,120,FALSE
1963,Chateaugay,Braulio Baeza,James P. Conway,Darby Dan Farm,1.25,Fast,2:01.8,121.8,FALSE
1962,Decidedly,Bill Hartack,Horatio Luro,El Peco Ranch,1.25,Fast,2:00.4,120.4,FALSE
1961,Carry Back,Johnny Sellers,Jack A. Price,Katherine Price,1.25,Good,2:04.0,124,FALSE
1960,Venetian Way,Bill Hartack,Victor J. Sovinski,Sunny Blue Farm,1.25,Good,2:02.4,122.4,FALSE
1959,Tomy Lee,Bill Shoemaker,Frank E. Childs,Fred & Juliette Turner,1.25,Fast,2:02.2,122.2,FALSE
1958,Tim Tam,Ismael Valenzuela,Jimmy Jones,Calumet Farm,1.25,Muddy,2:05.0,125,FALSE
1957,Iron Liege,Bill Hartack,Jimmy Jones,Calumet Farm,1.25,Fast,2:02.2,122.2,FALSE
1956,Needles,David Erb,Hugh L. Fontaine,D & H Stable,1.25,Fast,2:03.4,123.4,FALSE
1955,Swaps,Bill Shoemaker,Mesh Tenney,Rex C. Ellsworth,1.25,Fast,2:01.8,121.8,FALSE
1954,Determine,Raymond York,William Molter,Andrew J. Crevolin,1.25,Fast,2:03.0,123,FALSE
1953,Dark Star,Henry E. Moreno,Eddie Hayward,Cain Hoy Stable,1.25,Fast,2:02.0,122,FALSE
1952,Hill Gail,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,2:01.6,121.6,FALSE
1951,Count Turf,Conn McCreary,Sol Rutchick,Jack J. Amiel,1.25,Fast,2:02.6,122.6,FALSE
1950,Middleground,William Boland,Max Hirsch,King Ranch,1.25,Fast,2:01.6,121.6,FALSE
1949,Ponder,Steve Brooks,Ben A. Jones,Calumet Farm,1.25,Fast,2:04.2,124.2,FALSE
1948,Citation,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Sloppy,2:05.4,125.4,TRUE
1947,Jet Pilot,Eric Guerin,Tom Smith,Maine Chance Farm,1.25,Slow,2:06.8,126.8,FALSE
1946,Assault,Warren Mehrtens,Max Hirsch,King Ranch,1.25,Slow,2:06.6,126.6,TRUE
1945,Hoop Jr.,Eddie Arcaro,Ivan H. Parke,Fred W. Hooper,1.25,Muddy,2:07.0,127,FALSE
1944,Pensive,Conn McCreary,Ben A. Jones,Calumet Farm,1.25,Good,2:04.2,124.2,FALSE
1943,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,1.25,Fast,2:04.0,124,TRUE
1942,Shut Out,Wayne D. Wright,John M. Gaver Sr.,Greentree Stable,1.25,Fast,2:04.4,124.4,FALSE
1941,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,2:01.4,121.4,TRUE
1940,Gallahadion,Carroll Bierman,Roy Waldron,Milky Way Farm,1.25,Fast,2:05.0,125,FALSE
1939,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,1.25,Fast,2:03.4,123.4,FALSE
1938,Lawrin,Eddie Arcaro,Ben A. Jones,Herbert M. Woolf,1.25,Fast,2:04.8,124.8,FALSE
1937,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,1.25,Fast,2:03.2,123.2,TRUE
1936,Bold Venture,Ira Hanford,Max Hirsch,Morton L. Schwartz,1.25,Fast,2:03.6,123.6,FALSE
1935,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,1.25,Good,2:05.0,125,TRUE
